Order ID,Date,Channel / Type,Customer,Items Summary,Subtotal (PHP),VAT 12% (PHP),Delivery Fee (PHP),Grand Total (PHP),Payment Method,Payment Status,Order Status,Reference No.
ORD-20250929-00484-D6901,2025-09-29 14:59:27,ON_SITE,Dindo Dela Cruz,Seafood Bilao Feast x1; Seafood Cajun Boil x1,4250.00,510.00,0.00,4760.00,CASH,PENDING,IN_PROCESS,N/A
ORD-20250929-03999-A7047,2025-09-29 20:03:33,ON_SITE,Matteo Guidicelli,Garlic Butter Prawns x2; Classic Seafood Paella x1,4150.00,498.00,0.00,4648.00,CASH,PAID,COMPLETED,TXN-CAS-87064959
ORD-20250929-04916-2C90F,2025-09-29 20:06:20,ONLINE,Ana Reyes,Classic Seafood Paella x1; Seafood Cajun Boil x1,3500.00,420.00,60.00,3980.00,COD,PAID,COMPLETED,TXN-COD-62370359
ORD-20250929-01191-A86D7,2025-09-29 20:58:22,ON_SITE,Carlos Mendoza,Grilled Seafood Platter x1; Seafood Cajun Boil x2; Classic Seafood Paella x1; Seafood Bilao Feast x1,9850.00,1182.00,0.00,11032.00,MAYA,PAID,COMPLETED,TXN-MAY-88275321
ORD-20250929-03593-76F73,2025-09-29 21:11:11,ONLINE,Mark Bautista,Sweet & Chili Crab Bucket x2; Seafood Bilao Feast x1,6300.00,756.00,60.00,7116.00,COD,PAID,COMPLETED,TXN-COD-90403114
ORD-20250929-01149-CF331,2025-09-29 21:54:45,ONLINE,Pedro Penduko,Sweet & Chili Crab Bucket x3; Fresh Calamansi Juice Pitcher x1,6130.00,735.60,120.00,6985.60,HYBRID (Cash + GCash),PAID,COMPLETED,TXN-HYB-76147311
ORD-20250929-01109-97BA9,2025-09-29 21:56:40,ONLINE,Pedro Penduko,Grilled Seafood Platter x2,4200.00,504.00,100.00,4804.00,CASH,PAID,COMPLETED,TXN-CAS-83393569
ORD-20250930-03167-4734A,2025-09-30 14:31:33,ON_SITE,Marian Rivera,Garlic Butter Prawns x1; Grilled Seafood Platter x3,7550.00,906.00,0.00,8456.00,SPLIT (Cash + GCash),PAID,COMPLETED,TXN-SPL-37987864
ORD-20250930-01542-B4BAB,2025-09-30 15:36:39,ON_SITE,Dingdong Dantes,Seafood Bilao Feast x1; Crispy Seafood Basket x2,4360.00,523.20,0.00,4883.20,GCASH,PAID,COMPLETED,TXN-GCA-62224669
ORD-20250930-02127-58D53,2025-09-30 16:49:36,ONLINE,Pedro Penduko,Classic Seafood Paella x1,1650.00,198.00,60.00,1908.00,HYBRID (Cash + GCash),PAID,COMPLETED,TXN-HYB-97197087
ORD-20250930-01459-04519,2025-09-30 17:56:02,ONLINE,Mark Bautista,Seafood Bilao Feast x1; Fresh Calamansi Juice Pitcher x1,2680.00,321.60,85.00,3086.60,SPLIT (Cash + GCash),PAID,COMPLETED,TXN-SPL-96760728
ORD-20250930-04746-0FB34,2025-09-30 18:08:40,ON_SITE,Katrina Halili,Crispy Seafood Basket x1; Fresh Calamansi Juice Pitcher x1,1260.00,151.20,0.00,1411.20,CASH,PAID,IN_PROCESS,TXN-CAS-37604567
ORD-20250930-00837-37EC2,2025-09-30 21:17:37,ONLINE,Clara Dizon,Seafood Bilao Feast x1; Fresh Calamansi Juice Pitcher x1,2680.00,321.60,60.00,3061.60,GCASH,PAID,COMPLETED,TXN-GCA-81816648
ORD-20251001-03062-91B17,2025-10-01 10:59:23,ON_SITE,Juan Tamad,Fresh Calamansi Juice Pitcher x3; Seafood Bilao Feast x3,8040.00,964.80,0.00,9004.80,MAYA,PAID,COMPLETED,TXN-MAY-70591686
ORD-20251001-00050-E8B9A,2025-10-01 12:27:30,ON_SITE,Matteo Guidicelli,Fresh Calamansi Juice Pitcher x1,280.00,33.60,0.00,313.60,GCASH,PAID,COMPLETED,TXN-GCA-20914646
ORD-20251001-03753-5550D,2025-10-01 12:48:50,ON_SITE,Ramon Magsaysay Jr.,Seafood Bilao Feast x1,2400.00,288.00,0.00,2688.00,CASH,PAID,COMPLETED,TXN-CAS-27422726
ORD-20251001-01403-CA8BD,2025-10-01 16:33:07,ONLINE,Lisa Manoban,Garlic Butter Prawns x1; Fresh Calamansi Juice Pitcher x1; Grilled Seafood Platter x1; Crispy Seafood Basket x1,4610.00,553.20,85.00,5248.20,COD,PAID,IN_PROCESS,TXN-COD-46781757
ORD-20251001-04004-680C7,2025-10-01 21:25:21,ON_SITE,Katrina Halili,Garlic Butter Prawns x2; Sweet & Chili Crab Bucket x1,4450.00,534.00,0.00,4984.00,CASH,PAID,COMPLETED,TXN-CAS-18591398
ORD-20251002-01471-9E0DD,2025-10-02 11:27:56,ONLINE,Ana Reyes,Garlic Butter Prawns x1; Seafood Cajun Boil x1; Sweet & Chili Crab Bucket x1,5050.00,606.00,75.00,5731.00,SPLIT (Cash + GCash),PAID,COMPLETED,TXN-SPL-78085488
ORD-20251002-03330-78274,2025-10-02 11:59:01,ON_SITE,Giselle Hernandez,Seafood Cajun Boil x1; Seafood Bilao Feast x2; Crispy Seafood Basket x1; Grilled Seafood Platter x1,9730.00,1167.60,0.00,10897.60,GCASH,PAID,COMPLETED,TXN-GCA-40195296
ORD-20251002-03367-5A289,2025-10-02 12:26:40,ONLINE,Mark Bautista,Seafood Cajun Boil x2; Seafood Bilao Feast x2,8500.00,1020.00,100.00,9620.00,CASH,PAID,COMPLETED,TXN-CAS-81727036
ORD-20251002-00368-4F515,2025-10-02 17:20:37,ON_SITE,Bea Alonzo,Fresh Calamansi Juice Pitcher x1; Sweet & Chili Crab Bucket x1,2230.00,267.60,0.00,2497.60,SPLIT (Cash + GCash),PAID,COMPLETED,TXN-SPL-82670912
ORD-20251002-02213-1B9A4,2025-10-02 17:59:01,ONLINE,Juan Tamad,Garlic Butter Prawns x1; Fresh Calamansi Juice Pitcher x3,2090.00,250.80,85.00,2425.80,GCASH,PAID,COMPLETED,TXN-GCA-34059347
ORD-20251002-02076-035B4,2025-10-02 18:25:23,ON_SITE,Ramon Magsaysay Jr.,Fresh Calamansi Juice Pitcher x1; Seafood Bilao Feast x2; Sweet & Chili Crab Bucket x1,7030.00,843.60,0.00,7873.60,CASH,PENDING,IN_PROCESS,N/A
ORD-20251002-03587-7380B,2025-10-02 21:41:22,ON_SITE,Ramon Magsaysay Jr.,Sweet & Chili Crab Bucket x1; Grilled Seafood Platter x3; Crispy Seafood Basket x1,9230.00,1107.60,0.00,10337.60,GCASH,PAID,COMPLETED,TXN-GCA-87298390
ORD-20251003-04663-B6660,2025-10-03 18:31:59,ONLINE,Mark Bautista,Grilled Seafood Platter x1,2100.00,252.00,60.00,2412.00,GCASH,PAID,COMPLETED,TXN-GCA-29129541
ORD-20251003-00659-54707,2025-10-03 20:05:26,ON_SITE,Pedro Penduko,Sweet & Chili Crab Bucket x1; Seafood Bilao Feast x1,4350.00,522.00,0.00,4872.00,CASH,PAID,COMPLETED,TXN-CAS-46761790
ORD-20251003-00801-E6D10,2025-10-03 20:45:16,ONLINE,Juan Tamad,Seafood Cajun Boil x1; Grilled Seafood Platter x1; Crispy Seafood Basket x1,4930.00,591.60,120.00,5641.60,GCASH,PAID,COMPLETED,TXN-GCA-72867617
ORD-20251003-04505-2AA87,2025-10-03 20:53:34,ON_SITE,Mark Bautista,Crispy Seafood Basket x1; Grilled Seafood Platter x2,5180.00,621.60,0.00,5801.60,HYBRID (Cash + GCash),PAID,COMPLETED,TXN-HYB-97374667
ORD-20251003-01380-533F5,2025-10-03 21:31:31,ON_SITE,Ana Reyes,Fresh Calamansi Juice Pitcher x1,280.00,33.60,0.00,313.60,CASH,PAID,COMPLETED,TXN-CAS-59164962
ORD-20251003-01132-25A5E,2025-10-03 21:35:22,ONLINE,Pedro Penduko,Seafood Cajun Boil x1; Sweet & Chili Crab Bucket x1; Grilled Seafood Platter x1,5900.00,708.00,100.00,6708.00,GCASH,REFUNDED,CANCELLED,N/A
ORD-20251004-03716-AFCE7,2025-10-04 11:46:41,ON_SITE,Matteo Guidicelli,Crispy Seafood Basket x2,1960.00,235.20,0.00,2195.20,HYBRID (Cash + GCash),PAID,COMPLETED,TXN-HYB-75386021
ORD-20251004-00609-1A93E,2025-10-04 13:17:57,ON_SITE,Mark Bautista,Crispy Seafood Basket x1,980.00,117.60,0.00,1097.60,CASH,PAID,COMPLETED,TXN-CAS-34367041
ORD-20251004-03257-59D3A,2025-10-04 14:12:30,ONLINE,Clara Dizon,Classic Seafood Paella x1,1650.00,198.00,85.00,1933.00,GCASH,PAID,COMPLETED,TXN-GCA-70710536
ORD-20251004-01842-21CA0,2025-10-04 20:37:28,ON_SITE,Lisa Manoban,Fresh Calamansi Juice Pitcher x1; Seafood Bilao Feast x2,5080.00,609.60,0.00,5689.60,GCASH,PAID,COMPLETED,TXN-GCA-43754480
ORD-20251004-00650-750D3,2025-10-04 21:30:50,ONLINE,Pedro Penduko,Crispy Seafood Basket x1,980.00,117.60,100.00,1197.60,GCASH,PAID,COMPLETED,TXN-GCA-72127866
ORD-20251005-03174-ADFA1,2025-10-05 10:34:40,ONLINE,Juan Tamad,Sweet & Chili Crab Bucket x1; Garlic Butter Prawns x1; Crispy Seafood Basket x1,4180.00,501.60,100.00,4781.60,HYBRID (Cash + GCash),PAID,COMPLETED,TXN-HYB-30218387
ORD-20251005-01157-188BB,2025-10-05 12:51:01,ONLINE,Pedro Penduko,Classic Seafood Paella x1,1650.00,198.00,85.00,1933.00,GCASH,PAID,COMPLETED,TXN-GCA-34018300
ORD-20251005-04300-54F64,2025-10-05 13:20:15,ON_SITE,Clara Dizon,Garlic Butter Prawns x1; Crispy Seafood Basket x2,3210.00,385.20,0.00,3595.20,MAYA,PAID,COMPLETED,TXN-MAY-76242098
ORD-20251005-01793-1084E,2025-10-05 21:14:51,ONLINE,Ana Reyes,Seafood Cajun Boil x1; Classic Seafood Paella x1,3500.00,420.00,60.00,3980.00,SPLIT (Cash + GCash),PAID,COMPLETED,TXN-SPL-25209797
ORD-20251005-00845-4242F,2025-10-05 21:38:27,ON_SITE,Sarah Geronimo,Sweet & Chili Crab Bucket x1; Crispy Seafood Basket x2; Fresh Calamansi Juice Pitcher x2; Seafood Cajun Boil x1,6320.00,758.40,0.00,7078.40,SPLIT (Cash + GCash),PAID,COMPLETED,TXN-SPL-86206274
ORD-20251006-01440-CA73D,2025-10-06 12:14:28,ONLINE,Mark Bautista,Sweet & Chili Crab Bucket x1; Classic Seafood Paella x1; Fresh Calamansi Juice Pitcher x1; Seafood Bilao Feast x1,6280.00,753.60,85.00,7118.60,GCASH,REFUNDED,CANCELLED,N/A
ORD-20251006-03189-E5D43,2025-10-06 14:59:27,ONLINE,Ana Reyes,Garlic Butter Prawns x2; Seafood Cajun Boil x1; Classic Seafood Paella x2,7650.00,918.00,85.00,8653.00,HYBRID (Cash + GCash),PAID,COMPLETED,TXN-HYB-29171780
ORD-20251006-02808-76C32,2025-10-06 21:37:28,ON_SITE,Lisa Manoban,Fresh Calamansi Juice Pitcher x1; Sweet & Chili Crab Bucket x2,4180.00,501.60,0.00,4681.60,GCASH,PAID,COMPLETED,TXN-GCA-35827426
ORD-20251007-04466-CD4EE,2025-10-07 10:40:46,ONLINE,Mark Bautista,Classic Seafood Paella x1,1650.00,198.00,100.00,1948.00,SPLIT (Cash + GCash),PAID,COMPLETED,TXN-SPL-41004249
ORD-20251007-03598-D9B0D,2025-10-07 12:47:11,ONLINE,Juan Tamad,Garlic Butter Prawns x1,1250.00,150.00,50.00,1450.00,MAYA,PAID,COMPLETED,TXN-MAY-71471398
ORD-20251007-00970-E5B1E,2025-10-07 14:17:34,ON_SITE,Clara Dizon,Seafood Cajun Boil x1; Crispy Seafood Basket x2,3810.00,457.20,0.00,4267.20,GCASH,PAID,COMPLETED,TXN-GCA-31870586
ORD-20251007-02373-6E0CD,2025-10-07 18:56:53,ON_SITE,Ana Reyes,Seafood Bilao Feast x1,2400.00,288.00,0.00,2688.00,CASH,PAID,COMPLETED,TXN-CAS-57457691
ORD-20251007-03634-4A5C1,2025-10-07 21:21:30,ONLINE,Pedro Penduko,Seafood Cajun Boil x1; Fresh Calamansi Juice Pitcher x2; Classic Seafood Paella x2,5710.00,685.20,100.00,6495.20,GCASH,PAID,COMPLETED,TXN-GCA-71125115
ORD-20251008-00066-AB46E,2025-10-08 16:20:14,ONLINE,Juan Tamad,Classic Seafood Paella x2; Grilled Seafood Platter x1,5400.00,648.00,50.00,6098.00,GCASH,PAID,COMPLETED,TXN-GCA-66118732
ORD-20251008-04359-AB1CF,2025-10-08 17:24:07,ON_SITE,Clara Dizon,Garlic Butter Prawns x1,1250.00,150.00,0.00,1400.00,MAYA,PAID,COMPLETED,TXN-MAY-75386707
ORD-20251008-01612-448D8,2025-10-08 19:02:07,ONLINE,Lisa Manoban,Sweet & Chili Crab Bucket x2; Seafood Bilao Feast x1,6300.00,756.00,60.00,7116.00,GCASH,PAID,COMPLETED,TXN-GCA-93350285
ORD-20251008-03848-749AC,2025-10-08 21:11:11,ON_SITE,Mark Bautista,Classic Seafood Paella x1; Garlic Butter Prawns x1,2900.00,348.00,0.00,3248.00,SPLIT (Cash + GCash),PAID,COMPLETED,TXN-SPL-43837863
ORD-20251009-02285-29FAD,2025-10-09 11:41:58,ONLINE,Lisa Manoban,Classic Seafood Paella x1; Sweet & Chili Crab Bucket x1,3600.00,432.00,100.00,4132.00,GCASH,PAID,COMPLETED,TXN-GCA-14430645
ORD-20251009-01888-900CB,2025-10-09 15:54:58,ON_SITE,Ferdinand Marcos,Sweet & Chili Crab Bucket x1; Garlic Butter Prawns x1,3200.00,384.00,0.00,3584.00,HYBRID (Cash + GCash),PAID,COMPLETED,TXN-HYB-68111387
ORD-20251009-01539-C186D,2025-10-09 16:01:33,ON_SITE,Ana Reyes,Sweet & Chili Crab Bucket x1; Classic Seafood Paella x1; Grilled Seafood Platter x1,5700.00,684.00,0.00,6384.00,CASH,PAID,COMPLETED,TXN-CAS-46408693
ORD-20251009-03466-1BEDF,2025-10-09 17:26:44,ON_SITE,Ramon Magsaysay Jr.,Classic Seafood Paella x1; Garlic Butter Prawns x1; Seafood Bilao Feast x1,5300.00,636.00,0.00,5936.00,CASH,PAID,COMPLETED,TXN-CAS-45052081
ORD-20251009-01912-33834,2025-10-09 18:46:50,ONLINE,Clara Dizon,Seafood Bilao Feast x1,2400.00,288.00,120.00,2808.00,HYBRID (Cash + GCash),PAID,COMPLETED,TXN-HYB-57607063
ORD-20251009-04579-2D653,2025-10-09 21:17:01,ONLINE,Mark Bautista,Seafood Cajun Boil x1,1850.00,222.00,85.00,2157.00,CASH,PENDING,IN_PROCESS,N/A
ORD-20251009-00533-1BCB7,2025-10-09 21:53:57,ONLINE,Pedro Penduko,Grilled Seafood Platter x2; Garlic Butter Prawns x1; Seafood Bilao Feast x1,7850.00,942.00,85.00,8877.00,GCASH,PAID,COMPLETED,TXN-GCA-72076411
ORD-20251010-03528-DF373,2025-10-10 10:19:04,ON_SITE,Lisa Manoban,Seafood Bilao Feast x1; Grilled Seafood Platter x1,4500.00,540.00,0.00,5040.00,CASH,PAID,COMPLETED,TXN-CAS-27728344
ORD-20251010-04044-64546,2025-10-10 14:30:43,ON_SITE,Sarah Geronimo,Crispy Seafood Basket x1; Garlic Butter Prawns x1; Fresh Calamansi Juice Pitcher x2,2790.00,334.80,0.00,3124.80,HYBRID (Cash + GCash),PAID,COMPLETED,TXN-HYB-55676884
ORD-20251010-02444-7CEFB,2025-10-10 17:22:32,ON_SITE,Alden Richards,Fresh Calamansi Juice Pitcher x1,280.00,33.60,0.00,313.60,HYBRID (Cash + GCash),PAID,COMPLETED,TXN-HYB-63799371
ORD-20251011-01472-5A8A3,2025-10-11 10:38:30,ON_SITE,Dindo Dela Cruz,Sweet & Chili Crab Bucket x3; Classic Seafood Paella x2,9150.00,1098.00,0.00,10248.00,CASH,PAID,COMPLETED,TXN-CAS-80669993
ORD-20251011-04681-E6FDC,2025-10-11 11:26:39,ONLINE,Ana Reyes,Fresh Calamansi Juice Pitcher x1; Garlic Butter Prawns x1,1530.00,183.60,50.00,1763.60,GCASH,PAID,COMPLETED,TXN-GCA-67512874
ORD-20251011-00940-6CFEF,2025-10-11 11:55:31,ONLINE,Mark Bautista,Seafood Cajun Boil x2; Grilled Seafood Platter x1; Crispy Seafood Basket x1,6780.00,813.60,60.00,7653.60,GCASH,PAID,COMPLETED,TXN-GCA-53077516
ORD-20251011-02827-C8FE2,2025-10-11 11:56:34,ON_SITE,Giselle Hernandez,Garlic Butter Prawns x2,2500.00,300.00,0.00,2800.00,HYBRID (Cash + GCash),PAID,COMPLETED,TXN-HYB-88931289
ORD-20251011-04910-293CD,2025-10-11 12:12:46,ON_SITE,Sarah Geronimo,Seafood Cajun Boil x2,3700.00,444.00,0.00,4144.00,MAYA,PAID,COMPLETED,TXN-MAY-51911735
ORD-20251011-02614-62418,2025-10-11 14:54:52,ONLINE,Lisa Manoban,Grilled Seafood Platter x2,4200.00,504.00,120.00,4824.00,CASH,PAID,COMPLETED,TXN-CAS-90093690
ORD-20251012-02519-59AA6,2025-10-12 10:33:43,ONLINE,Clara Dizon,Crispy Seafood Basket x2; Garlic Butter Prawns x2; Classic Seafood Paella x1,6110.00,733.20,100.00,6943.20,HYBRID (Cash + GCash),PAID,COMPLETED,TXN-HYB-31229120
ORD-20251012-03101-CE8F3,2025-10-12 10:35:04,ONLINE,Pedro Penduko,Seafood Cajun Boil x1,1850.00,222.00,100.00,2172.00,SPLIT (Cash + GCash),PAID,COMPLETED,TXN-SPL-87633097
ORD-20251012-01201-3A32A,2025-10-12 11:49:23,ONLINE,Ana Reyes,Garlic Butter Prawns x1,1250.00,150.00,75.00,1475.00,SPLIT (Cash + GCash),PAID,COMPLETED,TXN-SPL-55195316
ORD-20251013-02792-A2F53,2025-10-13 11:37:54,ON_SITE,Ramon Magsaysay Jr.,Garlic Butter Prawns x1; Seafood Cajun Boil x1,3100.00,372.00,0.00,3472.00,CASH,PENDING,IN_PROCESS,N/A
ORD-20251013-02681-95F5B,2025-10-13 13:50:54,ONLINE,Pedro Penduko,Classic Seafood Paella x2,3300.00,396.00,50.00,3746.00,MAYA,PAID,COMPLETED,TXN-MAY-19682445
ORD-20251013-00016-C5198,2025-10-13 15:15:51,ONLINE,Mark Bautista,Fresh Calamansi Juice Pitcher x1,280.00,33.60,75.00,388.60,GCASH,PAID,COMPLETED,TXN-GCA-17588208
ORD-20251013-03095-C84F3,2025-10-13 15:43:43,ON_SITE,Ramon Magsaysay Jr.,Classic Seafood Paella x2; Grilled Seafood Platter x1; Seafood Cajun Boil x1,7250.00,870.00,0.00,8120.00,GCASH,PAID,COMPLETED,TXN-GCA-95741539
ORD-20251013-04416-9A598,2025-10-13 16:27:10,ON_SITE,Dingdong Dantes,Sweet & Chili Crab Bucket x1,1950.00,234.00,0.00,2184.00,GCASH,PAID,COMPLETED,TXN-GCA-15865028
ORD-20251013-00408-A721B,2025-10-13 17:39:05,ON_SITE,Lisa Manoban,Grilled Seafood Platter x1; Fresh Calamansi Juice Pitcher x1; Sweet & Chili Crab Bucket x1,4330.00,519.60,0.00,4849.60,GCASH,PAID,COMPLETED,TXN-GCA-18171531
ORD-20251013-00960-97B34,2025-10-13 19:08:00,ON_SITE,Clara Dizon,Seafood Cajun Boil x1; Grilled Seafood Platter x2; Garlic Butter Prawns x1,7300.00,876.00,0.00,8176.00,GCASH,PAID,COMPLETED,TXN-GCA-12802573
ORD-20251014-03042-3B0B6,2025-10-14 10:43:23,ONLINE,Pedro Penduko,Classic Seafood Paella x1,1650.00,198.00,85.00,1933.00,SPLIT (Cash + GCash),PAID,COMPLETED,TXN-SPL-97223898
ORD-20251014-00753-B4D07,2025-10-14 19:17:00,ONLINE,Clara Dizon,Seafood Cajun Boil x2,3700.00,444.00,50.00,4194.00,MAYA,PAID,COMPLETED,TXN-MAY-31800841
ORD-20251015-01536-DEB53,2025-10-15 12:55:27,ON_SITE,Mark Bautista,Sweet & Chili Crab Bucket x1; Seafood Bilao Feast x1,4350.00,522.00,0.00,4872.00,GCASH,PAID,COMPLETED,TXN-GCA-33927654
ORD-20251015-00707-37977,2025-10-15 13:23:39,ONLINE,Clara Dizon,Seafood Bilao Feast x1; Grilled Seafood Platter x2,6600.00,792.00,50.00,7442.00,GCASH,PAID,COMPLETED,TXN-GCA-81922316
ORD-20251015-01386-86D9B,2025-10-15 18:15:17,ON_SITE,Carlos Mendoza,Grilled Seafood Platter x1,2100.00,252.00,0.00,2352.00,SPLIT (Cash + GCash),PAID,IN_PROCESS,TXN-SPL-73573843
ORD-20251015-01133-85EAA,2025-10-15 19:35:11,ONLINE,Ana Reyes,Grilled Seafood Platter x1; Crispy Seafood Basket x1,3080.00,369.60,120.00,3569.60,GCASH,PAID,COMPLETED,TXN-GCA-64045808
ORD-20251016-01002-D0F48,2025-10-16 14:28:43,ON_SITE,Mark Bautista,Crispy Seafood Basket x1; Fresh Calamansi Juice Pitcher x1; Seafood Cajun Boil x1; Seafood Bilao Feast x1,5510.00,661.20,0.00,6171.20,CASH,PAID,COMPLETED,TXN-CAS-62614490
ORD-20251016-03476-BAA79,2025-10-16 15:42:59,ONLINE,Juan Tamad,Classic Seafood Paella x1; Seafood Cajun Boil x1; Seafood Bilao Feast x1; Garlic Butter Prawns x1,7150.00,858.00,120.00,8128.00,GCASH,PAID,COMPLETED,TXN-GCA-95358702
ORD-20251016-00926-78430,2025-10-16 19:32:36,ONLINE,Mark Bautista,Garlic Butter Prawns x1,1250.00,150.00,85.00,1485.00,HYBRID (Cash + GCash),PENDING,CANCELLED,N/A
ORD-20251016-01702-F9676,2025-10-16 21:47:16,ONLINE,Mark Bautista,Garlic Butter Prawns x1,1250.00,150.00,100.00,1500.00,MAYA,PAID,COMPLETED,TXN-MAY-83485374
ORD-20251017-01534-605D7,2025-10-17 10:56:12,ON_SITE,Mark Bautista,Crispy Seafood Basket x1,980.00,117.60,0.00,1097.60,GCASH,PAID,COMPLETED,TXN-GCA-50740682
ORD-20251017-02044-2A487,2025-10-17 14:14:30,ONLINE,Clara Dizon,Garlic Butter Prawns x1; Classic Seafood Paella x1,2900.00,348.00,85.00,3333.00,COD,PAID,COMPLETED,TXN-COD-64593119
ORD-20251017-02788-9AF2D,2025-10-17 14:48:50,ON_SITE,Giselle Hernandez,Seafood Bilao Feast x1,2400.00,288.00,0.00,2688.00,CASH,PAID,COMPLETED,TXN-CAS-12726858
ORD-20251017-04200-F7587,2025-10-17 16:54:38,ON_SITE,Ana Reyes,Seafood Bilao Feast x1,2400.00,288.00,0.00,2688.00,GCASH,PAID,COMPLETED,TXN-GCA-62427095
ORD-20251017-00985-35877,2025-10-17 17:53:27,ONLINE,Ana Reyes,Grilled Seafood Platter x1; Sweet & Chili Crab Bucket x1; Seafood Cajun Boil x2,7750.00,930.00,75.00,8755.00,MAYA,PAID,COMPLETED,TXN-MAY-78880697
ORD-20251017-03687-00AB3,2025-10-17 19:44:21,ON_SITE,Carlos Mendoza,Grilled Seafood Platter x2,4200.00,504.00,0.00,4704.00,SPLIT (Cash + GCash),PAID,COMPLETED,TXN-SPL-95672774
ORD-20251017-03768-93BAE,2025-10-17 20:28:45,ONLINE,Lisa Manoban,Classic Seafood Paella x1,1650.00,198.00,60.00,1908.00,GCASH,PAID,COMPLETED,TXN-GCA-95844165
ORD-20251018-03981-E6970,2025-10-18 10:19:16,ON_SITE,Ana Reyes,Classic Seafood Paella x1; Grilled Seafood Platter x1,3750.00,450.00,0.00,4200.00,GCASH,PAID,COMPLETED,TXN-GCA-64179420
ORD-20251018-00159-6C86C,2025-10-18 21:39:52,ONLINE,Juan Tamad,Seafood Cajun Boil x1; Classic Seafood Paella x1,3500.00,420.00,120.00,4040.00,COD,PAID,COMPLETED,TXN-COD-63459838
ORD-20251019-02194-51029,2025-10-19 12:00:52,ON_SITE,Lisa Manoban,Grilled Seafood Platter x1; Seafood Cajun Boil x2; Fresh Calamansi Juice Pitcher x2,6360.00,763.20,0.00,7123.20,CASH,PAID,COMPLETED,TXN-CAS-85494047
ORD-20251020-03700-1C839,2025-10-20 11:49:43,ONLINE,Pedro Penduko,Classic Seafood Paella x1,1650.00,198.00,100.00,1948.00,CASH,PAID,COMPLETED,TXN-CAS-39548586
ORD-20251020-00124-19485,2025-10-20 14:53:55,ONLINE,Lisa Manoban,Fresh Calamansi Juice Pitcher x1; Crispy Seafood Basket x1,1260.00,151.20,120.00,1531.20,GCASH,PAID,COMPLETED,TXN-GCA-48377568
ORD-20251020-01223-D77BE,2025-10-20 14:55:51,ON_SITE,Dingdong Dantes,Classic Seafood Paella x1,1650.00,198.00,0.00,1848.00,GCASH,PAID,COMPLETED,TXN-GCA-70285480
ORD-20251020-02362-8D403,2025-10-20 19:46:39,ONLINE,Mark Bautista,Sweet & Chili Crab Bucket x1; Seafood Bilao Feast x2,6750.00,810.00,100.00,7660.00,COD,REFUNDED,CANCELLED,N/A
